nameWithOwner,classes_n,total_loc,total_comment_lines,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
ReactiveX/RxJava,11916.0,372960.0,,2.349697885196375,1.0,5.206711580405273,1.3384525008392079,1.0,0.9651076298691669,47.536421617992616,0.0,1813.844313852929
skylot/jadx,3079.0,138313.0,,4.536213056187074,3.0,6.9646772447962695,1.6011692107827216,1.0,1.210769814945314,32.29912309191296,0.0,317.34182028085394
jeecgboot/JeecgBoot,911.0,55117.0,,7.251372118551043,4.0,9.358514709384776,1.1767288693743139,1.0,0.44788471342220615,55.87047200878156,0.0,362.76348774267166
apache/dubbo,4966.0,256095.0,,5.45569875151027,4.0,5.838817799705136,1.2913813934756344,1.0,0.7006501258977946,45.832460732984295,1.0,435.17996707994257
PhilJay/MPAndroidChart,306.0,21111.0,,8.843137254901961,5.0,10.006632323275921,1.9803921568627452,1.0,1.2305967537333011,91.0326797385621,1.0,517.7972439225407
halo-dev/halo,1598.0,55923.0,,7.853566958698373,5.0,7.51103278137668,1.2578222778473092,1.0,0.6533844366034132,7.658322903629537,0.0,31.419550131016038
TeamNewPipe/NewPipe,504.0,38871.0,,8.662698412698413,5.0,10.617950472052303,1.7182539682539681,1.0,1.1454743376587353,47.87301587301587,1.0,249.40137424078597
eugenp/tutorials,24626.0,544388.0,,4.12166003411029,3.0,3.996879526677509,1.111345732153009,1.0,0.42139194061067714,5.870908795581905,0.0,40.046017498938966
alibaba/arthas,1343.0,65580.0,,4.691734921816828,3.0,5.785560566726523,1.3633655994043188,1.0,0.7548539339617338,30.19657483246463,0.0,149.86948645032925
YunaiV/ruoyi-vue-pro,3933.0,104440.0,,7.888634630053394,6.0,7.438408030654779,1.2240020340706839,1.0,0.44127526281755447,16.201627256547166,0.0,494.65656651554156
geekxh/hello-algorithm,3.0,60.0,,1.3333333333333333,1.0,0.5773502691896257,1.0,1.0,0.0,0.0,0.0,0.0
doocs/leetcode,171.0,4719.0,,2.6666666666666665,2.0,2.040761103694634,1.0058479532163742,1.0,0.07647191129018724,0.4444444444444444,0.0,1.302084803920738
airbnb/lottie-android,291.0,18159.0,,6.965635738831615,5.0,8.348375096365453,1.288659793814433,1.0,0.6479478941364185,35.80068728522337,0.0,302.485374054296
ashishps1/awesome-system-design-resources,11.0,336.0,,0.8181818181818182,1.0,0.6030226891555273,1.0,1.0,0.0,0.0,0.0,0.0
bumptech/glide,1528.0,61207.0,,5.9535340314136125,4.0,6.59064551676012,1.2303664921465969,1.0,0.7849730618115142,20.031413612565444,0.0,159.05236004695834
netty/netty,7828.0,388797.0,,4.5028104241185485,3.0,5.870683196367619,1.5484159427695452,1.0,1.229334105471733,69.00153295861011,0.0,1152.5287303375264
SeleniumHQ/selenium,2085.0,99491.0,,5.690647482014389,4.0,6.863680443135411,1.3601918465227818,1.0,1.0087182159478079,33.48968824940048,0.0,285.3412519282238
xkcoding/spring-boot-demo,482.0,7163.0,,5.049792531120332,4.0,4.004364816897282,1.1307053941908713,1.0,0.4884647768088304,2.3215767634854774,0.0,9.814829841965445
zxing/zxing,597.0,40179.0,,4.852596314907872,4.0,4.693817952655489,1.6850921273031825,2.0,0.7780518175289255,22.88777219430486,0.0,130.64699274245083
alibaba/easyexcel,560.0,20545.0,,6.257142857142857,5.0,5.6449783640769615,1.3714285714285714,1.0,0.8296203165697055,32.025,1.0,355.6684644707237
Blankj/AndroidUtilCode,670.0,39995.0,,4.155223880597015,2.0,5.550401851409895,1.364179104477612,1.0,0.8356234289192939,144.95373134328358,0.0,960.5050906924679
keycloak/keycloak,9721.0,575681.0,,6.9800432054315396,4.0,8.36812569284794,1.5445941775537495,1.0,1.0274483167656328,71.01419607036313,2.0,965.4494158110041
alibaba/nacos,5026.0,236690.0,,5.354755272582571,3.0,6.461804676051409,1.277158774373259,1.0,0.6698804864518485,22.140867489056905,1.0,281.61710509794113
binarywang/WxJava,5473.0,123627.0,,5.533710944637311,4.0,6.616119093447699,1.21213228576649,1.0,0.4398619234908201,20.955965649552347,0.0,237.75688953455784
apache/kafka,8817.0,722052.0,,7.959283202903482,4.0,13.4285785611199,1.4290575025518883,1.0,1.0878951327474138,65.00782579108541,0.0,1206.9783830718825
conductor-oss/conductor,1326.0,94192.0,,7.45475113122172,6.0,7.848700652848062,1.2269984917043741,1.0,0.5010731532454954,60.85897435897436,0.0,333.62537416305406
ityouknow/spring-boot-examples,363.0,4765.0,,4.661157024793388,4.0,3.1680912190959196,1.022038567493113,1.0,0.1470115891629585,4.1597796143250685,0.0,14.992883466746104
chinabugotech/hutool,2727.0,135824.0,,3.637697103043638,3.0,3.971285634191674,1.276861019435277,1.0,0.7432676388433117,101.06894022735607,0.0,952.6421494688836
xuxueli/xxl-job,169.0,8637.0,,5.005917159763314,3.0,5.625724335818496,1.1597633136094674,1.0,0.4132218830101795,24.75147928994083,0.0,102.81182423805068
