metric,pearson,pearson_pvalue,spearman,spearman_pvalue,n
cbo,0.15803315759506448,8.607955595865487e-07,0.2794094165436975,1.1223219074463123e-18,960
dit,-0.04131968295769129,0.2008541487896374,-0.04546887148798193,0.15922168289735708,960
lcom,-0.0132898666052563,0.6808869296470121,0.1090591462929467,0.0007123736486103072,960
